mourir - indicatif - futur_simple - deuxième_pluriel,mourir,mourrez,\vu muʁ.ʁe\,indicatif,futur simple,deuxième_pluriel
mourir - indicatif - futur_simple - troisième_pluriel,mourir,mourront,\[il/ɛl] muʁ.ʁɔ̃\,indicatif,futur simple,troisième_pluriel
mourir - subjonctif - présent - première_singulier,mourir,meure,\kə ʒə mœʁ\,subjonctif,présent,première_singulier
mourir - subjonctif - présent - deuxième_singulier,mourir,meures,\kə ty mœʁ\,subjonctif,présent,deuxième_singulier
mourir - subjonctif - présent - troisième_singulier,mourir,meure,\k‿[il/ɛl/ɔ̃] mœʁ\,subjonctif,présent,troisième_singulier
mourir - subjonctif - présent - première_pluriel,mourir,mourions,\kə nu mu.ʁjɔ̃\,subjonctif,présent,première_pluriel
mourir - subjonctif - présent - deuxième_pluriel,mourir,mouriez,\kə vu mu.ʁje\,subjonctif,présent,deuxième_pluriel
mourir - subjonctif - présent - troisième_pluriel,mourir,meurent,\k‿[il/ɛl] mœʁ\,subjonctif,présent,troisième_pluriel
mourir - subjonctif - imparfait - première_singulier,mourir,mourusse,\kə ʒə mu.ʁys\,subjonctif,imparfait,première_singulier
mourir - subjonctif - imparfait - deuxième_singulier,mourir,mourusses,\kə ty mu.ʁys\,subjonctif,imparfait,deuxième_singulier
mourir - subjonctif - imparfait - troisième_singulier,mourir,mourût,\k‿[il/ɛl/ɔ̃] mu.ʁy\,subjonctif,imparfait,troisième_singulier
mourir - subjonctif - imparfait - première_pluriel,mourir,mourussions,\kə nu mu.ʁy.sjɔ̃\,subjonctif,imparfait,première_pluriel
mourir - subjonctif - imparfait - deuxième_pluriel,mourir,mourussiez,\kə vu mu.ʁy.sje\,subjonctif,imparfait,deuxième_pluriel
mourir - subjonctif - imparfait - troisième_pluriel,mourir,mourussent,\k‿[il/ɛl] mu.ʁys\,subjonctif,imparfait,troisième_pluriel
mourir - conditionnel - présent - première_singulier,mourir,mourrais,\ʒə muʁ.ʁɛ\,conditionnel,présent,première_singulier
mourir - conditionnel - présent - deuxième_singulier,mourir,mourrais,\ty muʁ.ʁɛ\,conditionnel,présent,deuxième_singulier
mourir - conditionnel - présent - troisième_singulier,mourir,mourrait,\[il/ɛl/ɔ̃] muʁ.ʁɛ\,conditionnel,présent,troisième_singulier
mourir - conditionnel - présent - première_pluriel,mourir,mourrions,\nu muʁ.ʁjɔ̃\,conditionnel,présent,première_pluriel
mourir - conditionnel - présent - deuxième_pluriel,mourir,mourriez,\vu muʁ.ʁje\,conditionnel,présent,deuxième_pluriel
mourir - conditionnel - présent - troisième_pluriel,mourir,mourraient,\[il/ɛl] muʁ.ʁɛ\,conditionnel,présent,troisième_pluriel
perdre - indicatif - présent - première_singulier,perdre,perds,\ʒə pɛʁ\,indicatif,présent,première_singulier
perdre - indicatif - présent - deuxième_singulier,perdre,perds,\ty pɛʁ\,indicatif,présent,deuxième_singulier
